,edad,sexo,ccaa,entorno,dependiente,sociabilidad,espacio_actividad,acompañado,grupo,mascota,horario,act1,act2,act3
0,78,hombre,extremadura,rural,False,3,exterior,False,solo,False,tarde,excursiones,pilates,bailes
1,68,hombre,extremadura,rural,False,2,interior,False,pareja,True,mañana,juegos de mesa,club de lectura,natacion
2,66,mujer,cataluña,rural,False,2,interior,False,pareja,True,mañana,juegos de mesa,club de lectura,natacion
3,79,mujer,valencia,urbano,False,2,interior,False,mediano,False,tarde,cocina,club de lectura,natacion
4,66,hombre,cataluña,rural,True,1,interior,True,solo,True,tarde,pilates,club de lectura,natacion
5,91,hombre,madrid,urbano,False,3,exterior,False,grande,False,mañana,juegos de mesa,pilates,natacion
6,68,mujer,murcia,rural,False,3,exterior,False,grande,False,tarde,natacion,juegos de mesa,cocina
7,67,mujer,murcia,rural,False,1,exterior,False,grande,False,tarde,natacion,bailes,cocina
8,99,hombre,galicia,rural,False,1,exterior,False,mediano,False,tarde,natacion,excursiones,petanca
9,63,mujer,madrid,urbano,False,3,interior,True,pareja,False,tarde,club de lectura,pilates,natacion
10,67,mujer,madrid,urbano,False,2,exterior,False,solo,False,mañana,bailes,gimnasia,juegos de mesa
11,70,hombre,madrid,rural,False,1,exterior,True,pareja,False,tarde,petanca,club de lectura,juegos de mesa
12,65,hombre,madrid,rural,False,2,exterior,False,solo,True,tarde,natacion,excursiones,cocina
13,57,mujer,madrid,urbano,False,2,exterior,True,pareja,False,mañana,gimnasia,pilates,natacion
14,58,hombre,madrid,urbano,False,3,interior,False,solo,True,mañana,natacion,club de lectura,cocina
15,60,mujer,madrid,urbano,False,2,interior,False,solo,True,tarde,bailes,cocina,juegos de mesa
16,59,mujer,madrid,urbano,False,1,interior,False,solo,False,noche,bailes,cocina,pilates
17,65,hombre,madrid,rural,False,2,exterior,False,solo,False,tarde,pickleball,excursiones,gimnasia
18,60,mujer,madrid,urbano,False,3,interior,False,pareja,True,tarde,bailes,cocina,pilates
19,58,hombre,madrid,urbano,False,1,interior,True,pequeño,True,mañana,cocina,petanca,excursiones
20,60,mujer,madrid,rural,False,1,exterior,True,solo,True,mañana,bailes,pilates,excursiones
21,59,hombre,madrid,urbano,False,1,interior,True,solo,False,tarde,pickleball,juegos de mesa,excursiones
22,70,hombre,madrid,rural,False,1,exterior,True,solo,False,tarde,cocina,excursiones,0
23,62,mujer,castilla-la mancha,urbano,True,1,exterior,True,mediano,False,tarde,cocina,pilates,excursiones
24,59,hombre,cataluña,urbano,False,1,interior,True,solo,True,mañana,club de lectura,excursiones,0
25,69,hombre,andalucia,rural,True,1,interior,True,mediano,False,tarde,petanca,pickleball,0
26,65,hombre,madrid,urbano,False,1,interior,True,grande,False,tarde,cocina,excursiones,0
27,70,mujer,madrid,urbano,True,1,interior,True,solo,True,mañana,cocina,gimnasia,club de lectura
28,69,mujer,valencia,rural,False,1,interior,True,pequeño,False,mañana,cocina,pilates,excursiones
29,73,mujer,navarra,rural,False,3,exterior,False,grande,False,tarde,bailes,juegos de mesa,excursiones
30,69,mujer,pais vasco,rural,True,2,exterior,False,pequeño,True,mañana,natacion,juegos de mesa,club de lectura
31,75,hombre,aragon,rural,False,3,exterior,False,pareja,False,mañana,excursiones,bailes,gimnasia
32,82,hombre,madrid,urbano,False,3,interior,False,mediano,False,tarde,juegos de mesa,bailes,natacion
33,72,hombre,extremadura,urbano,True,2,exterior,True,grande,False,noche,bailes,excursiones,petanca
